강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 보령
기간 : 1993~2022 01~12

년월,지점,강수량(mm)
1993-01,235,4.6
1993-02,235,66.7
1993-03,235,21.6
1993-04,235,32.6
1993-05,235,68.5
1993-06,235,225.5
1993-07,235,241.5
1993-08,235,206.5
1993-09,235,141.5
1993-10,235,32
1993-11,235,87.4
1993-12,235,33.7
1994-01,235,17.9
1994-02,235,6
1994-03,235,58.2
1994-04,235,51.5
1994-05,235,135.5
1994-06,235,207
1994-07,235,137
1994-08,235,443.5
1994-09,235,21
1994-10,235,155
1994-11,235,17.5
1994-12,235,18.9
1995-01,235,15.7
1995-02,235,11
1995-03,235,19.6
1995-04,235,65.5
1995-05,235,49.5
1995-06,235,26.5
1995-07,235,144.5
1995-08,235,996.5
1995-09,235,70.5
1995-10,235,24.5
1995-11,235,23
1995-12,235,12.7
1996-01,235,33.4
1996-02,235,6.8
1996-03,235,104.5
1996-04,235,34
1996-05,235,22.5
1996-06,235,235
1996-07,235,192.5
1996-08,235,44.5
1996-09,235,14
1996-10,235,106.5
1996-11,235,74.2
1996-12,235,31.7
1997-01,235,15.1
1997-02,235,38.4
1997-03,235,30.5
1997-04,235,57.5
1997-05,235,203
1997-06,235,272
1997-07,235,353.5
1997-08,235,211.5
1997-09,235,23
1997-10,235,10
1997-11,235,193.5
1997-12,235,34.3
1998-01,235,29.9
1998-02,235,40.2
1998-03,235,30.5
1998-04,235,138
1998-05,235,100
1998-06,235,209.5
1998-07,235,263
1998-08,235,341.7
1998-09,235,150.3
1998-10,235,61
1998-11,235,29.3
1998-12,235,3.8
1999-01,235,7.9
1999-02,235,9.5
1999-03,235,71
1999-04,235,88.5
1999-05,235,124.5
1999-06,235,192.5
1999-07,235,98
1999-08,235,180
1999-09,235,292.5
1999-10,235,169
1999-11,235,24.9
1999-12,235,25.8
2000-01,235,42.1
2000-02,235,3.2
2000-03,235,7
2000-04,235,35
2000-05,235,53.5
2000-06,235,159.5
2000-07,235,155
2000-08,235,701.5
2000-09,235,241
2000-10,235,46
2000-11,235,39.5
2000-12,235,32.1
2001-01,235,73.3
2001-02,235,46
2001-03,235,15.9
2001-04,235,26
2001-05,235,17
2001-06,235,129
2001-07,235,286.5
2001-08,235,170
2001-09,235,10
2001-10,235,85
2001-11,235,13
2001-12,235,32
2002-01,235,50.8
2002-02,235,5.5
2002-03,235,32
2002-04,235,169
2002-05,235,155.5
2002-06,235,72
2002-07,235,217.5
2002-08,235,477
2002-09,235,27
2002-10,235,134
2002-11,235,61.1
2002-12,235,51.8
2003-01,235,30.7
2003-02,235,44.5
2003-03,235,39.5
2003-04,235,168.5
2003-05,235,78.5
2003-06,235,153
2003-07,235,309.5
2003-08,235,310
2003-09,235,128
2003-10,235,23
2003-11,235,45.5
2003-12,235,13
2004-01,235,22.1
2004-02,235,28.5
2004-03,235,45.7
2004-04,235,58
2004-05,235,105.5
2004-06,235,234.5
2004-07,235,263.5
2004-08,235,164
2004-09,235,195
2004-10,235,4
2004-11,235,56.5
2004-12,235,38.9
2005-01,235,5.8
2005-02,235,35.8
2005-03,235,30
2005-04,235,73.5
2005-05,235,48.5
2005-06,235,156
2005-07,235,260.5
2005-08,235,291.5
2005-09,235,282.5
2005-10,235,21
2005-11,235,18
2005-12,235,43.4
2006-01,235,27
2006-02,235,25.9
2006-03,235,10.6
2006-04,235,81.5
2006-05,235,94.5
2006-06,235,114.5
2006-07,235,321
2006-08,235,21.5
2006-09,235,23.5
2006-10,235,24.5
2006-11,235,61.5
2006-12,235,25.4
2007-01,235,23.4
2007-02,235,29.8
2007-03,235,102
2007-04,235,29.5
2007-05,235,79
2007-06,235,85
2007-07,235,214
2007-08,235,239.5
2007-09,235,384
2007-10,235,59
2007-11,235,17.5
2007-12,235,33.1
2008-01,235,20.9
2008-02,235,10.8
2008-03,235,48.2
2008-04,235,40.5
2008-05,235,78.9
2008-06,235,101.3
2008-07,235,257.2
2008-08,235,119.5
2008-09,235,46.9
2008-10,235,26.7
2008-11,235,37.6
2008-12,235,25
2009-01,235,18.5
2009-02,235,23.3
2009-03,235,55.1
2009-04,235,41.5
2009-05,235,154.5
2009-06,235,115.1
2009-07,235,320.9
2009-08,235,176.6
2009-09,235,25.5
2009-10,235,39.5
2009-11,235,52.9
2009-12,235,58
2010-01,235,30.1
2010-02,235,73.5
2010-03,235,75.9
2010-04,235,58.5
