강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 천안
기간 : 1994~2023 01~12

년월,지점,강수량(mm)
1994-01,232,9.1
1994-02,232,10.1
1994-03,232,39.5
1994-04,232,13.5
1994-05,232,106.5
1994-06,232,160.5
1994-07,232,98
1994-08,232,418
1994-09,232,52
1994-10,232,220
1994-11,232,22
1994-12,232,21
1995-01,232,19
1995-02,232,8.2
1995-03,232,25.3
1995-04,232,47
1995-05,232,48
1995-06,232,14.5
1995-07,232,239.9
1995-08,232,1082.5
1995-09,232,29
1995-10,232,23.5
1995-11,232,40.2
1995-12,232,8.9
1996-01,232,29.5
1996-02,232,10.2
1996-03,232,115
1996-04,232,54.5
1996-05,232,19
1996-06,232,237
1996-07,232,177.5
1996-08,232,116.5
1996-09,232,8
1996-10,232,102.5
1996-11,232,71.6
1996-12,232,26.2
1997-01,232,10.7
1997-02,232,44.1
1997-03,232,30
1997-04,232,66.5
1997-05,232,211
1997-06,232,191.5
1997-07,232,305
1997-08,232,175.5
1997-09,232,14.5
1997-10,232,23
1997-11,232,153.5
1997-12,232,43.5
1998-01,232,20.4
1998-02,232,27.9
1998-03,232,29.5
1998-04,232,120.5
1998-05,232,85
1998-06,232,219.5
1998-07,232,277
1998-08,232,408.1
1998-09,232,283
1998-10,232,51.5
1998-11,232,52.8
1998-12,232,8.5
1999-01,232,2.7
1999-02,232,2.8
1999-03,232,46.5
1999-04,232,88.5
1999-05,232,121.5
1999-06,232,163.7
1999-07,232,138.5
1999-08,232,313.5
1999-09,232,324.5
1999-10,232,134.5
1999-11,232,16.5
1999-12,232,11.9
2000-01,232,52.3
2000-02,232,2.7
2000-03,232,7.1
2000-04,232,36
2000-05,232,36
2000-06,232,181
2000-07,232,83
2000-08,232,636
2000-09,232,287.5
2000-10,232,32
2000-11,232,32
2000-12,232,22.5
2001-01,232,43.5
2001-02,232,44
2001-03,232,16.5
2001-04,232,19
2001-05,232,15
2001-06,232,227.5
2001-07,232,178
2001-08,232,194.5
2001-09,232,12
2001-10,232,63.5
2001-11,232,6.3
2001-12,232,18.4
2002-01,232,45.3
2002-02,232,6
2002-03,232,25.5
2002-04,232,128
2002-05,232,104
2002-06,232,54
2002-07,232,229.5
2002-08,232,481.5
2002-09,232,57
2002-10,232,91.5
2002-11,232,42.1
2002-12,232,48.1
2003-01,232,18.6
2003-02,232,44
2003-03,232,38.1
2003-04,232,172.3
2003-05,232,106
2003-06,232,178.6
2003-07,232,381.2
2003-08,232,334.6
2003-09,232,264.2
2003-10,232,27
2003-11,232,46.7
2003-12,232,17
2004-01,232,16.4
2004-02,232,21.3
2004-03,232,21.5
2004-04,232,67.5
2004-05,232,127.6
2004-06,232,235
2004-07,232,365.2
2004-08,232,229.3
2004-09,232,189
2004-10,232,4.5
2004-11,232,53
2004-12,232,33
2005-01,232,3
2005-02,232,29.8
2005-03,232,37
2005-04,232,53.7
2005-05,232,48
2005-06,232,183
2005-07,232,313.8
2005-08,232,202
2005-09,232,377.5
2005-10,232,26.7
2005-11,232,23.5
2005-12,232,11.3
2006-01,232,25.2
2006-02,232,18.5
2006-03,232,6.1
2006-04,232,78.6
2006-05,232,79
2006-06,232,120
2006-07,232,535.1
2006-08,232,63.5
2006-09,232,22.2
2006-10,232,21.6
2006-11,232,56.3
2006-12,232,17.2
2007-01,232,9.4
2007-02,232,34.1
2007-03,232,108.3
2007-04,232,35.3
2007-05,232,126.2
2007-06,232,106.7
2007-07,232,215.6
2007-08,232,470.6
2007-09,232,353.3
2007-10,232,43.4
2007-11,232,15.6
2007-12,232,43.9
2008-01,232,17.5
2008-02,232,11.1
2008-03,232,40.1
2008-04,232,34
2008-05,232,62.6
2008-06,232,126.7
2008-07,232,287.2
2008-08,232,138.8
2008-09,232,89.3
2008-10,232,30.4
2008-11,232,16.6
2008-12,232,15.8
2009-01,232,13.3
2009-02,232,16
2009-03,232,51.6
2009-04,232,30.6
2009-05,232,112.6
2009-06,232,55.6
2009-07,232,335.8
2009-08,232,212.3
2009-09,232,30.8
2009-10,232,61.1
2009-11,232,39.7
2009-12,232,40.5
2010-01,232,40.7
2010-02,232,50.4
2010-03,232,73.8
2010-04,232,61
2010-05,232,84
2010-06,232,37
2010-07,232,171
2010-08,232,486.1
2010-09,232,316.9
2010-10,232,19.4
2010-11,232,13.5
2010-12,232,24.5
2011-01,232,7.9
2011-02,232,31
2011-03,232,26.5
2011-04,232,133.2
2011-05,232,103.3
2011-06,232,374.6
2011-07,232,645.1
2011-08,232,268.2
2011-09,232,153.2
2011-10,232,26.5
2011-11,232,65.8
2011-12,232,10.5
2012-01,232,14.5
2012-02,232,2.3
2012-03,232,44.9
2012-04,232,81.6
2012-05,232,16.8
2012-06,232,75.1
2012-07,232,252.5
2012-08,232,483.7
2012-09,232,190.1
2012-10,232,66.6
2012-11,232,52.6
2012-12,232,56
2013-01,232,28.5
2013-02,232,35.2
2013-03,232,40
2013-04,232,56.3
2013-05,232,123.5
2013-06,232,102.1
2013-07,232,308.2
2013-08,232,173.6
2013-09,232,117.5
2013-10,232,12.2
2013-11,232,58.2
2013-12,232,40.3
2014-01,232,4.9
2014-02,232,14.7
2014-03,232,40.9
2014-04,232,62.1
2014-05,232,34.6
2014-06,232,73.9
2014-07,232,239
2014-08,232,218.7
2014-09,232,144
2014-10,232,119.5
2014-11,232,28.9
2014-12,232,38.9
2015-01,232,12.7
2015-02,232,21.5
2015-03,232,23.3
2015-04,232,87.6
2015-05,232,27.5
2015-06,232,86
2015-07,232,136.8
2015-08,232,64.2
2015-09,232,29
2015-10,232,69
2015-11,232,128.6
2015-12,232,41.8
2016-01,232,8
2016-02,232,43.6
2016-03,232,16.5
2016-04,232,118.3
2016-05,232,107.2
2016-06,232,36.2
2016-07,232,364.3
2016-08,232,82
2016-09,232,55
2016-10,232,95.9
2016-11,232,33.5
2016-12,232,44.3
2017-01,232,13.9
2017-02,232,32.2
2017-03,232,6.5
2017-04,232,42.9
2017-05,232,14.3
2017-06,232,15.6
2017-07,232,788.1
2017-08,232,291.5
2017-09,232,43.3
2017-10,232,14.1
2017-11,232,23.8
2017-12,232,18.8
2018-01,232,14
2018-02,232,31.6
2018-03,232,62.2
2018-04,232,117
2018-05,232,82.7
2018-06,232,88.9
2018-07,232,185.8
2018-08,232,282.7
2018-09,232,124.6
2018-10,232,99.8
2018-11,232,48.3
2018-12,232,25.8
2019-01,232,0.6
2019-02,232,25.5
2019-03,232,26.9
2019-04,232,43.9
2019-05,232,15.1
2019-06,232,84.9
2019-07,232,234.7
2019-08,232,90.7
2019-09,232,102.8
2019-10,232,81.9
2019-11,232,120.6
2019-12,232,18
2020-01,232,59.7
2020-02,232,63.1
2020-03,232,21.7
2020-04,232,15.1
2020-05,232,86.4
2020-06,232,121.9
2020-07,232,356.4
2020-08,232,481.7
2020-09,232,167.2
2020-10,232,18.9
2020-11,232,45.9
2020-12,232,5.5
2021-01,232,17.8
2021-02,232,9.2
2021-03,232,75.3
2021-04,232,54.7
2021-05,232,135.9
2021-06,232,44.8
2021-07,232,117.6
