강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 서산
기간 : 1994~2023 01~12

년월,지점,강수량(mm)
1994-01,129,14.6
1994-02,129,5.9
1994-03,129,65.6
1994-04,129,32.4
1994-05,129,156
1994-06,129,167.8
1994-07,129,107.1
1994-08,129,309.7
1994-09,129,99.2
1994-10,129,216.3
1994-11,129,23.3
1994-12,129,36.6
1995-01,129,22.7
1995-02,129,7.2
1995-03,129,37.3
1995-04,129,48.2
1995-05,129,67.1
1995-06,129,24.5
1995-07,129,144.1
1995-08,129,992.7
1995-09,129,20.2
1995-10,129,19.3
1995-11,129,49.9
1995-12,129,15.1
1996-01,129,29.1
1996-02,129,5.7
1996-03,129,115.1
1996-04,129,48.1
1996-05,129,20
1996-06,129,179.2
1996-07,129,152.8
1996-08,129,74.1
1996-09,129,6.4
1996-10,129,92.2
1996-11,129,72.1
1996-12,129,35.3
1997-01,129,20.5
1997-02,129,32.5
1997-03,129,29.6
1997-04,129,69.5
1997-05,129,232.8
1997-06,129,204.4
1997-07,129,298.7
1997-08,129,87.2
1997-09,129,16.1
1997-10,129,8.7
1997-11,129,116.7
1997-12,129,40.2
1998-01,129,40.1
1998-02,129,54.2
1998-03,129,35
1998-04,129,160.6
1998-05,129,95.5
1998-06,129,281.7
1998-07,129,295.6
1998-08,129,491.8
1998-09,129,168
1998-10,129,24.3
1998-11,129,55.6
1998-12,129,9.2
1999-01,129,8
1999-02,129,7.8
1999-03,129,59.9
1999-04,129,90.1
1999-05,129,178.8
1999-06,129,105.1
1999-07,129,175.6
1999-08,129,497.4
1999-09,129,532.6
1999-10,129,111.3
1999-11,129,36.6
1999-12,129,23.4
2000-01,129,63
2000-02,129,2.9
2000-03,129,3.7
2000-04,129,38.1
2000-05,129,62.1
2000-06,129,204.4
2000-07,129,60.8
2000-08,129,608.1
2000-09,129,298.1
2000-10,129,34.4
2000-11,129,24.8
2000-12,129,24.4
2001-01,129,66.9
2001-02,129,40.4
2001-03,129,12.7
2001-04,129,18.7
2001-05,129,17.8
2001-06,129,200.2
2001-07,129,402
2001-08,129,136.6
2001-09,129,15
2001-10,129,47.5
2001-11,129,8.2
2001-12,129,20.8
2002-01,129,22.5
2002-02,129,7
2002-03,129,29.3
2002-04,129,179.5
2002-05,129,177.3
2002-06,129,60.8
2002-07,129,296.1
2002-08,129,428.2
2002-09,129,57.5
2002-10,129,78.3
2002-11,129,36.3
2002-12,129,14.8
2003-01,129,20.9
2003-02,129,39
2003-03,129,22.5
2003-04,129,180
2003-05,129,105.5
2003-06,129,221.8
2003-07,129,290.2
2003-08,129,257.9
2003-09,129,201.9
2003-10,129,23
2003-11,129,53.6
2003-12,129,17.1
2004-01,129,27.3
2004-02,129,26.3
2004-03,129,15.7
2004-04,129,80.2
2004-05,129,140.3
2004-06,129,211.1
2004-07,129,321.9
2004-08,129,131.2
2004-09,129,282.6
2004-10,129,1.8
2004-11,129,70.5
2004-12,129,32
