강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 충주
기간 : 1994~2023 01~12

년월,지점,강수량(mm)
1994-01,127,8.6
1994-02,127,6.3
1994-03,127,51.7
1994-04,127,15.2
1994-05,127,90
1994-06,127,291.5
1994-07,127,108.2
1994-08,127,294.7
1994-09,127,79.5
1994-10,127,144.5
1994-11,127,15.5
1994-12,127,12.7
1995-01,127,11.9
1995-02,127,6.8
1995-03,127,29.3
1995-04,127,46.2
1995-05,127,45.5
1995-06,127,19
1995-07,127,290.8
1995-08,127,802
1995-09,127,16
1995-10,127,23
1995-11,127,23.9
1995-12,127,4.2
1996-01,127,27.8
1996-02,127,1.6
1996-03,127,101.7
1996-04,127,36.5
1996-05,127,29.1
1996-06,127,203.5
1996-07,127,207
1996-08,127,126
1996-09,127,26.5
1996-10,127,83
1996-11,127,74.1
1996-12,127,22.2
1997-01,127,5
1997-02,127,44.3
1997-03,127,23.2
1997-04,127,60
1997-05,127,193.5
1997-06,127,147.8
1997-07,127,308
1997-08,127,179.9
1997-09,127,52.5
1997-10,127,35.6
1997-11,127,128.5
1997-12,127,41.4
1998-01,127,22.5
1998-02,127,26.4
1998-03,127,33.8
1998-04,127,145.3
1998-05,127,90
1998-06,127,217.7
1998-07,127,286.6
1998-08,127,541.7
1998-09,127,183
1998-10,127,64.5
1998-11,127,38.5
1998-12,127,2.5
1999-01,127,3.1
1999-02,127,1.9
1999-03,127,54.2
1999-04,127,96
1999-05,127,103.2
1999-06,127,168.5
1999-07,127,112.7
1999-08,127,299.6
1999-09,127,239.6
1999-10,127,195.1
1999-11,127,34.5
1999-12,127,7
2000-01,127,47.5
2000-02,127,3.3
2000-03,127,14.5
2000-04,127,42.5
2000-05,127,54
2000-06,127,248.5
2000-07,127,259.5
2000-08,127,260.5
2000-09,127,260.8
2000-10,127,25.5
2000-11,127,35.5
2000-12,127,17.5
2001-01,127,47
2001-02,127,52.2
2001-03,127,8.3
2001-04,127,12
2001-05,127,4.6
2001-06,127,238.9
2001-07,127,241.6
2001-08,127,82.6
2001-09,127,13.8
2001-10,127,82.1
2001-11,127,4.4
2001-12,127,10.6
2002-01,127,49.6
2002-02,127,4.2
2002-03,127,28.5
2002-04,127,151.2
2002-05,127,105
2002-06,127,74.7
2002-07,127,190.2
2002-08,127,653
2002-09,127,92.6
2002-10,127,52.2
2002-11,127,9.8
2002-12,127,58.6
2003-01,127,17.2
2003-02,127,59.2
2003-03,127,58.2
2003-04,127,170.8
2003-05,127,117.8
2003-06,127,152.1
2003-07,127,382.8
2003-08,127,314.7
2003-09,127,268.1
2003-10,127,27.5
2003-11,127,55
2003-12,127,17.8
2004-01,127,16.6
2004-02,127,32
2004-03,127,29.4
2004-04,127,81
2004-05,127,124.9
2004-06,127,335
2004-07,127,410.7
2004-08,127,192.2
2004-09,127,144.1
2004-10,127,1.4
2004-11,127,32.5
2004-12,127,25.4
2005-01,127,2.8
2005-02,127,20.8
2005-03,127,43.1
2005-04,127,63.1
2005-05,127,53.9
2005-06,127,178.7
2005-07,127,381.6
2005-08,127,226.1
2005-09,127,320
2005-10,127,63.4
2005-11,127,15.7
2005-12,127,11.7
2006-01,127,27.1
2006-02,127,34.9
2006-03,127,5.9
2006-04,127,91.8
2006-05,127,95.1
2006-06,127,128.5
2006-07,127,666.9
2006-08,127,71.5
2006-09,127,21.7
2006-10,127,23.1
2006-11,127,53.1
2006-12,127,14.3
2007-01,127,5.5
2007-02,127,38.5
2007-03,127,112.7
2007-04,127,18.3
2007-05,127,116.5
2007-06,127,90.1
2007-07,127,282.7
2007-08,127,366
2007-09,127,332.7
2007-10,127,32.8
2007-11,127,22
2007-12,127,21.4
2008-01,127,29.3
2008-02,127,8.2
2008-03,127,43.1
2008-04,127,31.5
2008-05,127,70.9
2008-06,127,78.1
2008-07,127,319.8
2008-08,127,192.5
2008-09,127,71.1
2008-10,127,16
2008-11,127,10.3
2008-12,127,11.7
2009-01,127,16.7
2009-02,127,15.8
2009-03,127,52
2009-04,127,30.7
2009-05,127,97.1
2009-06,127,89.5
2009-07,127,316.2
2009-08,127,142.5
2009-09,127,70.6
2009-10,127,45
2009-11,127,31.2
2009-12,127,29.5
2010-01,127,44.3
2010-02,127,70.8
2010-03,127,85.3
2010-04,127,69.5
2010-05,127,97
2010-06,127,50.6
2010-07,127,112.2
2010-08,127,345.1
2010-09,127,287.8
2010-10,127,21
2010-11,127,14.3
2010-12,127,14.4
2011-01,127,2.7
2011-02,127,45.9
2011-03,127,30.6
2011-04,127,157.8
2011-05,127,187.7
2011-06,127,452.6
2011-07,127,603.9
2011-08,127,289.4
2011-09,127,158.6
2011-10,127,61.5
2011-11,127,67
2011-12,127,15.6
2012-01,127,9.6
2012-02,127,1.7
2012-03,127,66.4
2012-04,127,84.5
2012-05,127,61
2012-06,127,58.8
2012-07,127,265.7
2012-08,127,403.3
2012-09,127,177.2
2012-10,127,62
2012-11,127,48
2012-12,127,52.1
2013-01,127,40.5
2013-02,127,36.9
2013-03,127,48
2013-04,127,84.7
2013-05,127,92.5
2013-06,127,126.6
2013-07,127,240.7
2013-08,127,222.2
2013-09,127,122.2
2013-10,127,12.1
2013-11,127,44
2013-12,127,32.2
