강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 대전
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,133,23.5
1995-02,133,16.9
1995-03,133,33.8
1995-04,133,54.7
1995-05,133,62.2
1995-06,133,33.6
1995-07,133,155.4
1995-08,133,641.9
1995-09,133,53.4
1995-10,133,36
1995-11,133,17.5
1995-12,133,7.3
1996-01,133,32.7
1996-02,133,4.4
1996-03,133,138
1996-04,133,49.8
1996-05,133,62.9
1996-06,133,411.4
1996-07,133,257.7
1996-08,133,114.4
1996-09,133,11.4
1996-10,133,90.8
1996-11,133,77.1
1996-12,133,28.6
1997-01,133,15.6
1997-02,133,51.1
1997-03,133,37.1
1997-04,133,55.4
1997-05,133,200.9
1997-06,133,267.5
1997-07,133,424.2
1997-08,133,463.5
1997-09,133,30.2
1997-10,133,7.7
1997-11,133,168.2
1997-12,133,44.5
1998-01,133,33.3
1998-02,133,36.3
1998-03,133,31.1
1998-04,133,154.3
1998-05,133,119.5
1998-06,133,297.2
1998-07,133,256.1
1998-08,133,781.7
1998-09,133,254.7
1998-10,133,71.5
1998-11,133,31.6
1998-12,133,2.7
1999-01,133,1.8
1999-02,133,12.2
1999-03,133,79.4
1999-04,133,103
1999-05,133,116.8
1999-06,133,245.7
1999-07,133,137.8
1999-08,133,203
1999-09,133,359.5
1999-10,133,171.6
1999-11,133,16.5
1999-12,133,7.9
2000-01,133,27.5
2000-02,133,4.1
2000-03,133,17.8
2000-04,133,67.8
2000-05,133,54.3
2000-06,133,238.3
2000-07,133,470.1
2000-08,133,473.6
2000-09,133,263.2
2000-10,133,24.6
2000-11,133,44.6
2000-12,133,21.6
2001-01,133,61.2
2001-02,133,70
2001-03,133,16
2001-04,133,20.4
2001-05,133,30.2
2001-06,133,234.2
2001-07,133,171
2001-08,133,78.1
2001-09,133,25.2
2001-10,133,91.2
2001-11,133,10.8
2001-12,133,20.4
2002-01,133,92.1
2002-02,133,12
2002-03,133,33.5
2002-04,133,155.5
2002-05,133,130.5
2002-06,133,55.4
2002-07,133,149.1
2002-08,133,538.8
2002-09,133,77
2002-10,133,67.8
2002-11,133,24
2002-12,133,43
2003-01,133,11.2
2003-02,133,59.2
2003-03,133,44.2
2003-04,133,217.5
2003-05,133,119.5
2003-06,133,186.4
2003-07,133,576.3
2003-08,133,254.9
2003-09,133,208.5
2003-10,133,21.5
2003-11,133,32.6
2003-12,133,17.1
2004-01,133,10.9
2004-02,133,30.6
2004-03,133,83.2
2004-04,133,73.1
2004-05,133,109
2004-06,133,383.5
2004-07,133,391
2004-08,133,198.3
2004-09,133,133.7
2004-10,133,5
2004-11,133,37.1
2004-12,133,41.1
2005-01,133,6
2005-02,133,37.5
2005-03,133,38.8
2005-04,133,48.5
2005-05,133,60.5
2005-06,133,209.6
2005-07,133,463.3
2005-08,133,499.5
2005-09,133,226.4
2005-10,133,30.5
2005-11,133,20.3
2005-12,133,15.2
2006-01,133,31.2
2006-02,133,33.1
2006-03,133,8.1
2006-04,133,94.2
2006-05,133,119.7
2006-06,133,131
2006-07,133,531
2006-08,133,113.6
2006-09,133,24.1
2006-10,133,19.3
