강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 부여
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,236,22.6
1995-02,236,23.5
1995-03,236,24.4
1995-04,236,62
1995-05,236,59.5
1995-06,236,34.5
1995-07,236,171.5
1995-08,236,839
1995-09,236,46.5
1995-10,236,22
1995-11,236,15
1995-12,236,5.7
1996-01,236,26.4
1996-02,236,2.8
1996-03,236,131
1996-04,236,45
1996-05,236,33
1996-06,236,289
1996-07,236,235
1996-08,236,67
1996-09,236,16
1996-10,236,90.5
1996-11,236,76
1996-12,236,35
1997-01,236,9
1997-02,236,54.9
1997-03,236,44
1997-04,236,70
1997-05,236,229.5
1997-06,236,236.5
1997-07,236,404.5
1997-08,236,263
1997-09,236,24.5
1997-10,236,8
1997-11,236,219.5
1997-12,236,39.5
1998-01,236,40.6
1998-02,236,47
1998-03,236,45
1998-04,236,200.5
1998-05,236,130.5
1998-06,236,324
1998-07,236,323
1998-08,236,451.3
1998-09,236,313.1
1998-10,236,75.5
1998-11,236,46.3
1998-12,236,3.5
1999-01,236,3.5
1999-02,236,10
1999-03,236,75.7
1999-04,236,92.5
1999-05,236,127.5
1999-06,236,203
1999-07,236,149
1999-08,236,119.5
1999-09,236,426
1999-10,236,290
1999-11,236,15.5
1999-12,236,17.4
2000-01,236,41.4
2000-02,236,2.3
2000-03,236,14.1
2000-04,236,62
2000-05,236,40
2000-06,236,248.5
2000-07,236,248.5
2000-08,236,543
2000-09,236,238.5
2000-10,236,39
2000-11,236,29.5
2000-12,236,13.8
2001-01,236,65
2001-02,236,69.5
2001-03,236,9.8
2001-04,236,25
2001-05,236,23.5
2001-06,236,132
2001-07,236,216
2001-08,236,98
2001-09,236,10.5
2001-10,236,76.5
2001-11,236,10.5
2001-12,236,16.3
2002-01,236,72.3
2002-02,236,6
2002-03,236,32.5
2002-04,236,142.5
2002-05,236,159
2002-06,236,70.5
2002-07,236,208
2002-08,236,358.5
2002-09,236,57.5
2002-10,236,78.5
2002-11,236,31.5
2002-12,236,57.2
2003-01,236,24.2
2003-02,236,59
2003-03,236,52
2003-04,236,208.5
2003-05,236,144.5
2003-06,236,228
2003-07,236,626.5
2003-08,236,202
2003-09,236,167.5
2003-10,236,24.5
2003-11,236,29.5
2003-12,236,13.8
2004-01,236,18.1
2004-02,236,26.2
2004-03,236,63.1
2004-04,236,73.5
2004-05,236,109
2004-06,236,388
2004-07,236,296
2004-08,236,249
2004-09,236,176.5
2004-10,236,1
2004-11,236,50.5
2004-12,236,43
2005-01,236,6
2005-02,236,39
2005-03,236,26.5
2005-04,236,75
2005-05,236,65.5
2005-06,236,186
2005-07,236,448.5
2005-08,236,381.5
2005-09,236,225.5
2005-10,236,30.5
2005-11,236,21
2005-12,236,22
2006-01,236,30.2
2006-02,236,29.5
2006-03,236,7.8
2006-04,236,99
2006-05,236,81.5
2006-06,236,111
2006-07,236,503
2006-08,236,83.5
2006-09,236,37.5
2006-10,236,15
2006-11,236,51
2006-12,236,27.5
2007-01,236,21.8
2007-02,236,47.8
2007-03,236,159
2007-04,236,28
2007-05,236,104
2007-06,236,101
2007-07,236,286
2007-08,236,319.5
2007-09,236,502.5
2007-10,236,37
2007-11,236,13
2007-12,236,31.7
2008-01,236,39.6
2008-02,236,11.2
2008-03,236,42.2
2008-04,236,38.8
2008-05,236,51.6
2008-06,236,260
2008-07,236,194.3
2008-08,236,154
2008-09,236,48.8
2008-10,236,24.1
2008-11,236,14.1
2008-12,236,23.4
2009-01,236,10.6
2009-02,236,23.6
2009-03,236,63.9
2009-04,236,51
2009-05,236,135.5
2009-06,236,113.2
2009-07,236,408
2009-08,236,140.2
2009-09,236,30.5
2009-10,236,23.7
2009-11,236,54.5
2009-12,236,34.9
2010-01,236,37.1
2010-02,236,89.5
2010-03,236,94.9
2010-04,236,69.6
2010-05,236,140.7
2010-06,236,36.1
2010-07,236,262.1
2010-08,236,431.1
2010-09,236,149.8
2010-10,236,17.8
2010-11,236,18.6
2010-12,236,31
2011-01,236,3.7
2011-02,236,60.7
2011-03,236,16
2011-04,236,70
2011-05,236,111.2
2011-06,236,316
2011-07,236,599.6
2011-08,236,618.1
2011-09,236,104.2
2011-10,236,26.6
2011-11,236,81.6
2011-12,236,7
2012-01,236,16
2012-02,236,3.2
2012-03,236,60.2
2012-04,236,109.3
2012-05,236,19.5
2012-06,236,71.3
2012-07,236,302.9
2012-08,236,573.3
2012-09,236,186.2
2012-10,236,83
2012-11,236,60.7
2012-12,236,60.2
2013-01,236,45.4
2013-02,236,58.7
2013-03,236,50.3
2013-04,236,93.7
2013-05,236,159
2013-06,236,151.7
2013-07,236,240.4
2013-08,236,119.5
2013-09,236,184.8
2013-10,236,17.5
2013-11,236,79.4
2013-12,236,35.9
2014-01,236,2.2
2014-02,236,15.3
2014-03,236,69.3
2014-04,236,94.1
2014-05,236,61.5
2014-06,236,77.8
2014-07,236,174.7
2014-08,236,225.1
2014-09,236,157.5
2014-10,236,170.5
2014-11,236,42.4
2014-12,236,51.7
2015-01,236,35.4
2015-02,236,35.6
2015-03,236,42.4
2015-04,236,99.5
2015-05,236,53.5
2015-06,236,92.7
2015-07,236,119.9
2015-08,236,56.9
2015-09,236,22
2015-10,236,104
2015-11,236,130
2015-12,236,56.9
2016-01,236,6.6
2016-02,236,59.6
2016-03,236,19
2016-04,236,164.6
2016-05,236,121.6
2016-06,236,49.4
2016-07,236,341.1
2016-08,236,33.4
2016-09,236,133.7
2016-10,236,120.1
2016-11,236,17.1
2016-12,236,63.1
2017-01,236,16
2017-02,236,28.5
2017-03,236,8.8
2017-04,236,78.4
