강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 제천
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,221,14
1995-02,221,6.1
1995-03,221,43.3
1995-04,221,60
1995-05,221,64.5
1995-06,221,72.5
1995-07,221,292.5
1995-08,221,742.5
1995-09,221,66
1995-10,221,38.5
1995-11,221,42
1995-12,221,6
1996-01,221,33.2
1996-02,221,8.8
1996-03,221,111.5
1996-04,221,46.5
1996-05,221,33.5
1996-06,221,174
1996-07,221,264
1996-08,221,121.5
1996-09,221,23
1996-10,221,90
1996-11,221,62.4
1996-12,221,18.8
1997-01,221,9.3
1997-02,221,48.4
1997-03,221,29.5
1997-04,221,65
1997-05,221,203
1997-06,221,151
1997-07,221,423.5
1997-08,221,197.3
1997-09,221,85.5
1997-10,221,16.2
1997-11,221,123.2
1997-12,221,32.9
1998-01,221,15.4
1998-02,221,27.1
1998-03,221,27
1998-04,221,136.5
1998-05,221,101
1998-06,221,195.8
1998-07,221,289.5
1998-08,221,546.1
1998-09,221,132.2
1998-10,221,72.5
1998-11,221,34.7
1998-12,221,3.6
1999-01,221,4.9
1999-02,221,4.2
1999-03,221,66.1
1999-04,221,129.5
1999-05,221,104
1999-06,221,136.5
1999-07,221,214
1999-08,221,323
1999-09,221,281.5
1999-10,221,159
1999-11,221,23.5
1999-12,221,7.2
2000-01,221,39.9
2000-02,221,4.1
2000-03,221,15.5
2000-04,221,41.5
2000-05,221,96
2000-06,221,196.5
2000-07,221,197.2
2000-08,221,259
2000-09,221,221.5
2000-10,221,24
2000-11,221,34
2000-12,221,19.9
2001-01,221,46.4
2001-02,221,49.6
2001-03,221,18.8
2001-04,221,18.5
2001-05,221,9
2001-06,221,269.5
2001-07,221,227.5
2001-08,221,93.5
2001-09,221,19.5
2001-10,221,84
2001-11,221,3
2001-12,221,10
2002-01,221,42.3
2002-02,221,3.2
2002-03,221,24
2002-04,221,199
2002-05,221,92
2002-06,221,89
2002-07,221,214.5
2002-08,221,652
2002-09,221,69.5
2002-10,221,44.5
2002-11,221,13
2002-12,221,57.4
2003-01,221,11.2
2003-02,221,48.7
2003-03,221,42
2003-04,221,198
2003-05,221,149.5
2003-06,221,196.5
2003-07,221,495
2003-08,221,346
2003-09,221,287.5
2003-10,221,24.5
2003-11,221,60.5
2003-12,221,17.2
2004-01,221,15.2
2004-02,221,31.5
2004-03,221,34.5
2004-04,221,74
2004-05,221,142
2004-06,221,395.5
2004-07,221,455.5
2004-08,221,259
2004-09,221,163.5
2004-10,221,2
2004-11,221,37
2004-12,221,21.1
2005-01,221,3.8
2005-02,221,17.9
2005-03,221,44
2005-04,221,77.5
2005-05,221,78.5
2005-06,221,171.5
2005-07,221,424.5
2005-08,221,259
2005-09,221,363
2005-10,221,57.5
2005-11,221,19.5
2005-12,221,8.5
2006-01,221,26.5
2006-02,221,33.3
2006-03,221,12.1
2006-04,221,106
2006-05,221,105.5
2006-06,221,145
2006-07,221,1111
2006-08,221,56.5
2006-09,221,25
2006-10,221,39.5
2006-11,221,46.3
2006-12,221,13.1
2007-01,221,11
2007-02,221,34
2007-03,221,177.2
2007-04,221,19.5
2007-05,221,151.5
2007-06,221,124
2007-07,221,442.5
2007-08,221,696.5
2007-09,221,333
2007-10,221,33.5
2007-11,221,24.3
2007-12,221,20.3
2008-01,221,19.8
2008-02,221,6.5
2008-03,221,63.8
2008-04,221,41.5
2008-05,221,54
2008-06,221,86.5
2008-07,221,274.6
2008-08,221,222
2008-09,221,63.6
2008-10,221,24
2008-11,221,8.4
2008-12,221,21.1
2009-01,221,14.8
2009-02,221,27.5
2009-03,221,57.1
2009-04,221,40.4
2009-05,221,121.7
2009-06,221,162.1
2009-07,221,474.5
2009-08,221,213
2009-09,221,58.5
2009-10,221,31.5
2009-11,221,44.3
2009-12,221,32
2010-01,221,61.1
2010-02,221,68.6
2010-03,221,117.3
2010-04,221,71.5
2010-05,221,118.1
2010-06,221,87.6
2010-07,221,180.1
2010-08,221,345.7
2010-09,221,432.8
2010-10,221,22.8
2010-11,221,22.4
2010-12,221,17.2
2011-01,221,2.8
2011-02,221,52.9
2011-03,221,36.5
2011-04,221,189.8
2011-05,221,121.8
2011-06,221,459
2011-07,221,665.2
2011-08,221,398.5
2011-09,221,157.2
2011-10,221,55.4
2011-11,221,81.1
2011-12,221,10.3
2012-01,221,16
2012-02,221,5
2012-03,221,83.2
2012-04,221,135.5
2012-05,221,40.9
2012-06,221,108.1
2012-07,221,344.8
2012-08,221,319.9
2012-09,221,144.5
2012-10,221,67.1
2012-11,221,68.7
2012-12,221,47.6
2013-01,221,40.5
2013-02,221,55
2013-03,221,48
2013-04,221,92.3
2013-05,221,118.5
2013-06,221,144.6
2013-07,221,442.4
2013-08,221,274.3
2013-09,221,118.9
2013-10,221,8.9
2013-11,221,63.2
2013-12,221,30.5
2014-01,221,10.5
2014-02,221,23.6
2014-03,221,44.5
2014-04,221,49.5
2014-05,221,41.4
2014-06,221,62.1
2014-07,221,111.4
2014-08,221,246.2
2014-09,221,131
2014-10,221,150.6
2014-11,221,24
2014-12,221,18.8
2015-01,221,17.5
2015-02,221,32.2
2015-03,221,31.7
2015-04,221,83.5
2015-05,221,31.5
2015-06,221,75.4
2015-07,221,225.1
2015-08,221,63.8
2015-09,221,36.6
2015-10,221,68.1
2015-11,221,110.6
2015-12,221,27.4
2016-01,221,4.5
2016-02,221,68.7
2016-03,221,21.5
2016-04,221,117.1
2016-05,221,82.4
2016-06,221,42.1
2016-07,221,419.7
2016-08,221,113.8
2016-09,221,47.3
2016-10,221,109.6
2016-11,221,22.1
2016-12,221,59.1
2017-01,221,10.2
2017-02,221,29.5
2017-03,221,24.3
2017-04,221,70.8
2017-05,221,12.5
2017-06,221,69.6
2017-07,221,464.8
2017-08,221,265.1
2017-09,221,43.3
2017-10,221,22.5
2017-11,221,34.1
2017-12,221,24
2018-01,221,6.9
2018-02,221,23.8
2018-03,221,61.7
2018-04,221,112.9
2018-05,221,172.5
2018-06,221,138.5
2018-07,221,161.5
2018-08,221,350.3
2018-09,221,185.5
2018-10,221,105.4
2018-11,221,60.3
2018-12,221,30
2019-01,221,1
2019-02,221,28.5
2019-03,221,49.5
2019-04,221,58.1
2019-05,221,26.1
2019-06,221,90
2019-07,221,158.6
2019-08,221,99.1
2019-09,221,164.5
2019-10,221,66.9
2019-11,221,81
2019-12,221,19.7
2020-01,221,68.1
2020-02,221,57.4
2020-03,221,14.4
2020-04,221,28.9
2020-05,221,130.1
2020-06,221,78.6
2020-07,221,317.5
2020-08,221,685.8
2020-09,221,134.1
2020-10,221,12.4
2020-11,221,13.4
