강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 추풍령
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,135,16.7
1995-02,135,15.7
1995-03,135,55.6
1995-04,135,67.5
1995-05,135,37
1995-06,135,43.8
1995-07,135,132.2
1995-08,135,472.4
1995-09,135,56.9
1995-10,135,22
1995-11,135,29.1
1995-12,135,5.1
1996-01,135,19.4
1996-02,135,2
1996-03,135,117.2
1996-04,135,28.1
1996-05,135,58.9
1996-06,135,463.9
1996-07,135,118.2
1996-08,135,89.4
1996-09,135,18.1
1996-10,135,73.6
1996-11,135,58.9
1996-12,135,24.3
1997-01,135,15.2
1997-02,135,32.8
1997-03,135,27.9
1997-04,135,49.7
1997-05,135,148.7
1997-06,135,205.2
1997-07,135,249.2
1997-08,135,154.4
1997-09,135,30
1997-10,135,4.2
1997-11,135,140.7
1997-12,135,44.6
1998-01,135,28.2
1998-02,135,49.6
1998-03,135,30.9
1998-04,135,201.5
1998-05,135,87.8
1998-06,135,227
1998-07,135,244.8
1998-08,135,368.9
1998-09,135,282.7
1998-10,135,49.9
1998-11,135,15.2
1998-12,135,4.4
1999-01,135,2.8
1999-02,135,20.1
1999-03,135,86.7
1999-04,135,76.4
1999-05,135,113.2
1999-06,135,167.3
1999-07,135,143.3
1999-08,135,240.1
1999-09,135,294.5
1999-10,135,93.5
1999-11,135,16.3
1999-12,135,15.3
2000-01,135,29.3
2000-02,135,5
2000-03,135,26
2000-04,135,43.4
2000-05,135,26.1
2000-06,135,155.7
2000-07,135,293.4
2000-08,135,318.5
2000-09,135,304.6
2000-10,135,30.4
2000-11,135,51
2000-12,135,11.1
2001-01,135,47.7
2001-02,135,63.9
2001-03,135,9.7
2001-04,135,16.5
2001-05,135,39.6
2001-06,135,202.6
2001-07,135,154.2
2001-08,135,23.4
2001-09,135,112.9
2001-10,135,116.5
2001-11,135,10.7
2001-12,135,24.5
2002-01,135,71.9
2002-02,135,8.9
2002-03,135,54.4
2002-04,135,188.2
2002-05,135,125.3
2002-06,135,49.3
2002-07,135,204.3
2002-08,135,597.1
2002-09,135,55.5
2002-10,135,39.6
2002-11,135,19.1
2002-12,135,46.1
2003-01,135,20.9
2003-02,135,54.8
2003-03,135,50.6
2003-04,135,182.7
2003-05,135,178.9
2003-06,135,157.3
2003-07,135,548.3
2003-08,135,330.6
2003-09,135,222.9
2003-10,135,24
2003-11,135,47.2
2003-12,135,17.1
2004-01,135,16
2004-02,135,24.9
2004-03,135,20.6
2004-04,135,70.8
2004-05,135,112.5
2004-06,135,249.1
2004-07,135,391.5
2004-08,135,317.6
2004-09,135,175.1
2004-10,135,2.6
2004-11,135,40.2
2004-12,135,23.3
2005-01,135,12.8
2005-02,135,35.9
2005-03,135,50.2
2005-04,135,31.3
2005-05,135,47
2005-06,135,131.2
2005-07,135,252.3
2005-08,135,291.8
2005-09,135,107.7
2005-10,135,13
2005-11,135,20.6
2005-12,135,14.6
2006-01,135,19.4
2006-02,135,30.4
2006-03,135,8.7
2006-04,135,89.5
2006-05,135,102.5
2006-06,135,128
2006-07,135,697.6
2006-08,135,43
2006-09,135,36.9
2006-10,135,36
2006-11,135,61.4
2006-12,135,19.7
2007-01,135,9.8
