강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 금산
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,238,23.2
1995-02,238,17.1
1995-03,238,46.9
1995-04,238,65.5
1995-05,238,35.5
1995-06,238,54
1995-07,238,83.5
1995-08,238,579.5
1995-09,238,47.5
1995-10,238,23.5
1995-11,238,31
1995-12,238,4.6
1996-01,238,25.4
1996-02,238,2.9
1996-03,238,123
1996-04,238,42.5
1996-05,238,37.5
1996-06,238,546
1996-07,238,174
1996-08,238,130
1996-09,238,12.5
1996-10,238,75.5
1996-11,238,89.8
1996-12,238,43
1997-01,238,21.3
1997-02,238,48.2
1997-03,238,34
1997-04,238,58
1997-05,238,170.5
1997-06,238,238.5
1997-07,238,444.5
1997-08,238,246.5
1997-09,238,89
1997-10,238,9
1997-11,238,160
1997-12,238,49
1998-01,238,38.4
1998-02,238,53.9
1998-03,238,25.6
1998-04,238,177.5
1998-05,238,98.5
1998-06,238,278.5
1998-07,238,184
1998-08,238,520
1998-09,238,237.3
1998-10,238,49
1998-11,238,46.1
1998-12,238,6.8
1999-01,238,5.3
1999-02,238,22.9
1999-03,238,73
1999-04,238,91.5
1999-05,238,117.5
1999-06,238,198
1999-07,238,114.5
1999-08,238,167.5
1999-09,238,289.5
1999-10,238,125
1999-11,238,16.4
1999-12,238,10.3
2000-01,238,36.2
2000-02,238,2.9
2000-03,238,24.5
2000-04,238,73.7
2000-05,238,29
2000-06,238,244.5
2000-07,238,344
2000-08,238,372
2000-09,238,223
2000-10,238,34.5
2000-11,238,42
2000-12,238,6.5
2001-01,238,63.2
2001-02,238,76.5
2001-03,238,17
2001-04,238,22.5
2001-05,238,22.5
2001-06,238,212.5
2001-07,238,203
2001-08,238,43
2001-09,238,87
2001-10,238,96
2001-11,238,12
2001-12,238,24.1
2002-01,238,71.5
2002-02,238,7.7
2002-03,238,52
2002-04,238,149.5
2002-05,238,127.5
2002-06,238,57
2002-07,238,139.5
2002-08,238,551
2002-09,238,98.5
2002-10,238,55.5
2002-11,238,23.2
2002-12,238,57.8
2003-01,238,22.4
2003-02,238,66
2003-03,238,44
2003-04,238,202.5
2003-05,238,164
2003-06,238,138
2003-07,238,575
2003-08,238,280.5
2003-09,238,192
2003-10,238,22.5
2003-11,238,42.5
2003-12,238,17
2004-01,238,11.2
2004-02,238,27.3
2004-03,238,33
2004-04,238,75.5
2004-05,238,90.5
2004-06,238,323.5
2004-07,238,406
2004-08,238,330.5
2004-09,238,126
2004-10,238,2.5
2004-11,238,43
2004-12,238,34.5
2005-01,238,9.4
2005-02,238,34
2005-03,238,51
2005-04,238,31.5
2005-05,238,65.5
2005-06,238,191
2005-07,238,411.5
2005-08,238,387
2005-09,238,118
2005-10,238,23
2005-11,238,30.5
2005-12,238,22.6
2006-01,238,28
2006-02,238,41.1
2006-03,238,8.4
2006-04,238,112
2006-05,238,93.5
2006-06,238,73
2006-07,238,681.5
2006-08,238,118
2006-09,238,40.5
2006-10,238,54
2006-11,238,71
2006-12,238,28.9
2007-01,238,13.7
2007-02,238,57
2007-03,238,129
2007-04,238,27.5
2007-05,238,104
2007-06,238,180
2007-07,238,252
2007-08,238,343.5
2007-09,238,398.5
2007-10,238,32
2007-11,238,13.5
2007-12,238,35.4
2008-01,238,32.4
2008-02,238,6.1
2008-03,238,28.3
2008-04,238,37.6
2008-05,238,84.5
2008-06,238,190.5
2008-07,238,202
2008-08,238,210
2008-09,238,35.9
2008-10,238,40.1
2008-11,238,15.1
2008-12,238,19.7
2009-01,238,13.2
2009-02,238,41.5
2009-03,238,43
2009-04,238,36
2009-05,238,120.3
2009-06,238,116.3
2009-07,238,515.5
2009-08,238,97
2009-09,238,54.5
2009-10,238,24
2009-11,238,29
2009-12,238,38.3
2010-01,238,33.6
2010-02,238,74.5
2010-03,238,83.8
2010-04,238,73.7
2010-05,238,114.5
2010-06,238,62.5
2010-07,238,278.5
2010-08,238,495.6
2010-09,238,110.3
2010-10,238,20.2
2010-11,238,20
2010-12,238,36.5
2011-01,238,2.2
2011-02,238,63.5
2011-03,238,21.5
2011-04,238,132.9
2011-05,238,130.6
2011-06,238,237.8
2011-07,238,571.2
2011-08,238,403
2011-09,238,77.8
2011-10,238,52.2
2011-11,238,98
2011-12,238,7.8
2012-01,238,23.7
2012-02,238,1.1
2012-03,238,83.6
2012-04,238,75.9
2012-05,238,21.7
2012-06,238,115.7
2012-07,238,239.2
2012-08,238,497.5
2012-09,238,219.5
2012-10,238,46.6
2012-11,238,47.3
2012-12,238,62.7
2013-01,238,37
2013-02,238,43.8
2013-03,238,64.6
2013-04,238,86.4
2013-05,238,79.5
2013-06,238,117.7
2013-07,238,216.9
2013-08,238,159.5
2013-09,238,80.8
2013-10,238,32.6
2013-11,238,53.9
2013-12,238,24.1
2014-01,238,4.1
2014-02,238,2.7
2014-03,238,97.9
2014-04,238,88.7
2014-05,238,26
2014-06,238,45.6
2014-07,238,105.8
2014-08,238,426.4
2014-09,238,91.2
2014-10,238,141.2
2014-11,238,70.1
2014-12,238,31.3
2015-01,238,37.6
2015-02,238,23.4
2015-03,238,46.6
2015-04,238,93.5
2015-05,238,29.5
2015-06,238,143.7
2015-07,238,162.3
2015-08,238,83.6
2015-09,238,18.6
2015-10,238,93.5
2015-11,238,109.6
2015-12,238,35.7
2016-01,238,11.1
2016-02,238,46
2016-03,238,54.5
2016-04,238,171.7
2016-05,238,70.5
2016-06,238,87.4
2016-07,238,377.9
2016-08,238,105.6
2016-09,238,160.9
2016-10,238,157.2
2016-11,238,33.2
2016-12,238,49.6
2017-01,238,13.6
2017-02,238,54.6
2017-03,238,29.8
2017-04,238,76.1
2017-05,238,31.8
2017-06,238,48.3
2017-07,238,305.5
2017-08,238,222.3
2017-09,238,105.6
2017-10,238,35.1
2017-11,238,15.6
2017-12,238,29.3
2018-01,238,25.7
2018-02,238,28.1
2018-03,238,91.5
2018-04,238,142.4
2018-05,238,110.4
2018-06,238,104.3
2018-07,238,163.5
2018-08,238,410.4
2018-09,238,135.2
2018-10,238,112.6
2018-11,238,45.5
2018-12,238,27.6
2019-01,238,6.4
2019-02,238,41.5
2019-03,238,33
2019-04,238,93
2019-05,238,44.2
2019-06,238,101
2019-07,238,141.1
2019-08,238,105.8
2019-09,238,236.4
2019-10,238,99.3
2019-11,238,47.9
2019-12,238,33
2020-01,238,80.8
2020-02,238,83.9
2020-03,238,20.5
2020-04,238,35.6
2020-05,238,80.5
2020-06,238,234
2020-07,238,628
2020-08,238,373.4
2020-09,238,167.2
2020-10,238,4.1
2020-11,238,41.9
2020-12,238,8.3
2021-01,238,23.5
2021-02,238,19.3
2021-03,238,88
2021-04,238,39.3
2021-05,238,162.7
2021-06,238,105.6
2021-07,238,300.8
2021-08,238,297.2
2021-09,238,151.9
2021-10,238,44
2021-11,238,50.7
2021-12,238,7.1
2022-01,238,1.5
2022-02,238,4.1
