강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 보은
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,226,17
1995-02,226,13.4
1995-03,226,46.4
1995-04,226,60.5
1995-05,226,56
1995-06,226,45.5
1995-07,226,126.5
1995-08,226,508
1995-09,226,31
1995-10,226,42
1995-11,226,32.3
1995-12,226,5.3
1996-01,226,18.4
1996-02,226,5.3
1996-03,226,100.7
1996-04,226,28.5
1996-05,226,62.5
1996-06,226,385.5
1996-07,226,264
1996-08,226,97.5
1996-09,226,29
1996-10,226,80
1996-11,226,66.8
1996-12,226,25.8
1997-01,226,14.1
1997-02,226,55
1997-03,226,32
1997-04,226,49
1997-05,226,238
1997-06,226,226
1997-07,226,378.8
1997-08,226,402.5
1997-09,226,46
1997-10,226,9.5
1997-11,226,162.7
1997-12,226,50.1
1998-01,226,22.4
1998-02,226,28
1998-03,226,23.7
1998-04,226,173.5
1998-05,226,103.5
1998-06,226,256
1998-07,226,311.5
1998-08,226,894
1998-09,226,180.5
1998-10,226,54.5
1998-11,226,33
1998-12,226,4.5
1999-01,226,1.5
1999-02,226,6.9
1999-03,226,72.5
1999-04,226,118
1999-05,226,108
1999-06,226,206
1999-07,226,136.5
1999-08,226,249.1
1999-09,226,306.8
1999-10,226,144
1999-11,226,15.6
1999-12,226,14.3
2000-01,226,34.3
2000-02,226,3.7
2000-03,226,20.7
2000-04,226,60
2000-05,226,44.5
2000-06,226,244.6
2000-07,226,384.2
2000-08,226,348.5
2000-09,226,229.5
2000-10,226,25
2000-11,226,38
2000-12,226,16.2
2001-01,226,49.4
2001-02,226,60.5
2001-03,226,12.7
2001-04,226,11.5
2001-05,226,18
2001-06,226,259.5
2001-07,226,139.5
2001-08,226,127
2001-09,226,42.5
2001-10,226,81
2001-11,226,9
2001-12,226,23.8
2002-01,226,89.1
2002-02,226,11
2002-03,226,35
2002-04,226,178
2002-05,226,126
2002-06,226,49
2002-07,226,156.5
2002-08,226,418
2002-09,226,114.5
2002-10,226,42
2002-11,226,20.1
2002-12,226,45.7
2003-01,226,22.7
2003-02,226,67
2003-03,226,44.5
2003-04,226,200.5
2003-05,226,159
2003-06,226,192
2003-07,226,689
2003-08,226,310
2003-09,226,306.5
2003-10,226,32
2003-11,226,36.5
2003-12,226,19.5
2004-01,226,15.4
2004-02,226,33.8
2004-03,226,59.9
2004-04,226,84.2
2004-05,226,117
2004-06,226,327
2004-07,226,295.5
2004-08,226,203.5
2004-09,226,136
2004-10,226,5.5
2004-11,226,38.5
2004-12,226,49.1
2005-01,226,9.2
2005-02,226,20
2005-03,226,38
2005-04,226,62.5
2005-05,226,62
2005-06,226,215
2005-07,226,400
2005-08,226,493.5
2005-09,226,177.5
2005-10,226,31
2005-11,226,15
2005-12,226,12.6
2006-01,226,27
2006-02,226,37.8
2006-03,226,11.9
2006-04,226,92.5
2006-05,226,107
2006-06,226,113
2006-07,226,511.5
2006-08,226,143
2006-09,226,27.5
2006-10,226,25
2006-11,226,76.5
2006-12,226,23.5
2007-01,226,11.6
2007-02,226,42.5
2007-03,226,119.8
2007-04,226,40
2007-05,226,105
2007-06,226,142
2007-07,226,282.5
2007-08,226,366
2007-09,226,351.5
2007-10,226,37
2007-11,226,10.6
2007-12,226,23.6
2008-01,226,46.9
2008-02,226,7
2008-03,226,28.7
2008-04,226,23.3
2008-05,226,83.5
2008-06,226,152.1
2008-07,226,212.5
2008-08,226,311.1
2008-09,226,51.8
2008-10,226,19.4
2008-11,226,11.3
2008-12,226,14.3
2009-01,226,10.5
2009-02,226,23.9
2009-03,226,53
2009-04,226,37
2009-05,226,147.5
2009-06,226,137
2009-07,226,404
2009-08,226,124
2009-09,226,62.5
2009-10,226,27.2
2009-11,226,48
2009-12,226,37.6
2010-01,226,32
2010-02,226,74.1
2010-03,226,82.9
2010-04,226,74
2010-05,226,108
2010-06,226,20.6
2010-07,226,199.6
2010-08,226,357.7
2010-09,226,249.7
2010-10,226,26.8
2010-11,226,9
2010-12,226,28.5
2011-01,226,2.6
2011-02,226,38.9
2011-03,226,19.8
2011-04,226,94.5
2011-05,226,153.8
2011-06,226,412
2011-07,226,535.1
2011-08,226,296.7
2011-09,226,105.8
2011-10,226,55.5
2011-11,226,84.5
2011-12,226,11.5
2012-01,226,16.1
2012-02,226,1
2012-03,226,79
2012-04,226,92.4
2012-05,226,44.6
2012-06,226,79.4
2012-07,226,294.6
2012-08,226,488.9
2012-09,226,218.5
2012-10,226,83.6
2012-11,226,68.2
2012-12,226,56
2013-01,226,45.2
2013-02,226,37.2
2013-03,226,50.9
2013-04,226,90.3
2013-05,226,107.8
2013-06,226,160.9
2013-07,226,245.2
2013-08,226,114
2013-09,226,139.9
2013-10,226,32
2013-11,226,67.2
2013-12,226,35.3
2014-01,226,8
2014-02,226,5.5
2014-03,226,72.2
2014-04,226,46.7
2014-05,226,53
2014-06,226,103.4
2014-07,226,164.7
2014-08,226,288.7
2014-09,226,106.7
2014-10,226,171.3
2014-11,226,43.2
2014-12,226,25.8
2015-01,226,25.1
2015-02,226,31.8
2015-03,226,45
2015-04,226,92.1
2015-05,226,31.8
2015-06,226,73.4
2015-07,226,156.7
2015-08,226,85.2
2015-09,226,38.8
2015-10,226,84.5
2015-11,226,109.8
2015-12,226,42.8
2016-01,226,9.7
2016-02,226,39.8
2016-03,226,45.5
2016-04,226,149.2
2016-05,226,88.5
2016-06,226,48.8
2016-07,226,494.9
2016-08,226,53
2016-09,226,149.4
2016-10,226,135.7
2016-11,226,33.5
2016-12,226,43.6
2017-01,226,16.4
2017-02,226,47
2017-03,226,16.9
2017-04,226,61
2017-05,226,28
2017-06,226,87.6
2017-07,226,572
2017-08,226,315.8
2017-09,226,108.6
2017-10,226,28.5
2017-11,226,13.4
2017-12,226,27.6
2018-01,226,25
2018-02,226,28.5
2018-03,226,93.5
2018-04,226,139.2
2018-05,226,103.9
2018-06,226,75.3
2018-07,226,224.9
2018-08,226,386
2018-09,226,134.7
2018-10,226,108.3
2018-11,226,52.2
2018-12,226,38
2019-01,226,0.9
2019-02,226,39.8
2019-03,226,29
2019-04,226,100.8
2019-05,226,42.8
2019-06,226,73.9
2019-07,226,226.1
2019-08,226,132.7
2019-09,226,186.2
2019-10,226,100.6
2019-11,226,86.2
2019-12,226,27.2
2020-01,226,71.8
2020-02,226,80.8
2020-03,226,23.6
2020-04,226,35.9
2020-05,226,89.1
2020-06,226,171.2
2020-07,226,500.8
2020-08,226,587.8
2020-09,226,162.2
2020-10,226,3
2020-11,226,37
2020-12,226,5.6
2021-01,226,19.8
2021-02,226,14.1
2021-03,226,93
2021-04,226,52.5
2021-05,226,154.5
2021-06,226,76.8
2021-07,226,163.9
2021-08,226,275.8
2021-09,226,162.2
2021-10,226,33.8
2021-11,226,44.9
2021-12,226,6.4
2022-01,226,4.3
2022-02,226,4.3
2022-03,226,98.2
2022-04,226,61.1
2022-05,226,5.6
2022-06,226,98.3
2022-07,226,160.5
2022-08,226,391.9
2022-09,226,71.7
2022-10,226,89.7
2022-11,226,39.9
2022-12,226,18
2023-01,226,27.3
2023-02,226,5.3
2023-03,226,25
2023-04,226,51.9
2023-05,226,146.4
2023-06,226,169.3
2023-07,226,796.9
2023-08,226,242.9
2023-09,226,243.2
