강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 청주
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
1995-01,131,21.5
1995-02,131,14
1995-03,131,34.4
1995-04,131,64
1995-05,131,70.7
1995-06,131,30.9
1995-07,131,204.9
1995-08,131,835.4
1995-09,131,17.5
1995-10,131,22.6
1995-11,131,20.3
1995-12,131,3.6
1996-01,131,27.9
1996-02,131,4.2
1996-03,131,98.4
1996-04,131,28.6
1996-05,131,36.8
1996-06,131,255.8
1996-07,131,170.5
1996-08,131,128.6
1996-09,131,11.2
1996-10,131,67.1
1996-11,131,77.2
1996-12,131,22.5
1997-01,131,12.9
1997-02,131,39.1
1997-03,131,31.6
1997-04,131,58.5
1997-05,131,179.1
1997-06,131,210.3
1997-07,131,425.5
1997-08,131,211.1
1997-09,131,55.5
1997-10,131,8.4
1997-11,131,180.3
1997-12,131,44.3
1998-01,131,22
1998-02,131,28.9
1998-03,131,30.9
1998-04,131,153.1
1998-05,131,92.8
1998-06,131,247
1998-07,131,253
1998-08,131,460.6
1998-09,131,225.9
1998-10,131,74.2
1998-11,131,44.7
1998-12,131,7.1
1999-01,131,1.6
1999-02,131,3.6
1999-03,131,54.1
1999-04,131,91.4
1999-05,131,102.4
1999-06,131,191.1
1999-07,131,122.4
1999-08,131,197.4
1999-09,131,281.3
1999-10,131,252.4
1999-11,131,15.4
1999-12,131,13.4
2000-01,131,38.7
2000-02,131,1.3
2000-03,131,10.4
2000-04,131,56.1
2000-05,131,42.1
2000-06,131,185.7
2000-07,131,300
2000-08,131,390.4
2000-09,131,244.6
2000-10,131,32.1
2000-11,131,37.3
2000-12,131,18.9
2001-01,131,56.9
2001-02,131,50.3
2001-03,131,11.3
2001-04,131,12.7
2001-05,131,14.3
2001-06,131,217.5
2001-07,131,171.5
2001-08,131,135.5
2001-09,131,11.8
2001-10,131,75.9
2001-11,131,6.9
2001-12,131,19.5
2002-01,131,58.7
2002-02,131,9
2002-03,131,25.9
2002-04,131,132
2002-05,131,106.9
2002-06,131,57.9
2002-07,131,186.2
2002-08,131,482.4
2002-09,131,90.5
2002-10,131,58
2002-11,131,26.3
2002-12,131,48
2003-01,131,16.2
2003-02,131,45
2003-03,131,38.9
2003-04,131,192.7
2003-05,131,113.5
2003-06,131,186
2003-07,131,467.2
2003-08,131,293.9
2003-09,131,150.6
2003-10,131,32.5
2003-11,131,33.1
2003-12,131,12.2
2004-01,131,12.5
2004-02,131,42.3
2004-03,131,67.3
2004-04,131,61
2004-05,131,121.8
2004-06,131,421.5
2004-07,131,318.9
2004-08,131,247.6
2004-09,131,139
2004-10,131,2
2004-11,131,34
2004-12,131,38
2005-01,131,4.6
2005-02,131,13.8
2005-03,131,36.8
2005-04,131,66.1
2005-05,131,50.7
2005-06,131,170
2005-07,131,373.1
2005-08,131,334.7
2005-09,131,295.5
2005-10,131,54.6
2005-11,131,16
2005-12,131,11.3
2006-01,131,20
2006-02,131,28.9
2006-03,131,8.2
2006-04,131,89.3
2006-05,131,119.4
2006-06,131,115.5
2006-07,131,508
2006-08,131,52
2006-09,131,18.4
2006-10,131,21.3
2006-11,131,83.4
2006-12,131,16.7
2007-01,131,11.2
2007-02,131,33.3
2007-03,131,103.2
2007-04,131,35.8
2007-05,131,145.5
2007-06,131,81.2
2007-07,131,273.2
2007-08,131,385.5
2007-09,131,391.4
2007-10,131,43.5
2007-11,131,8.8
2007-12,131,21.9
2008-01,131,29
2008-02,131,7.7
2008-03,131,29.4
2008-04,131,27
2008-05,131,64.5
2008-06,131,112
2008-07,131,296.6
2008-08,131,195.5
2008-09,131,92.6
2008-10,131,13.1
2008-11,131,10.5
2008-12,131,14.4
2009-01,131,17.8
2009-02,131,13.1
2009-03,131,54.9
2009-04,131,30.4
2009-05,131,109.6
2009-06,131,77.2
2009-07,131,345.7
2009-08,131,187.5
2009-09,131,49.5
2009-10,131,49.5
2009-11,131,43.9
2009-12,131,40.7
2010-01,131,37.8
2010-02,131,69.2
2010-03,131,99.8
2010-04,131,70.5
2010-05,131,110
2010-06,131,42.6
2010-07,131,224.1
2010-08,131,433.2
2010-09,131,278.6
2010-10,131,17.1
2010-11,131,15.7
2010-12,131,23.8
2011-01,131,4.5
2011-02,131,43.2
2011-03,131,23.5
2011-04,131,111.2
2011-05,131,116.2
2011-06,131,360.7
2011-07,131,531.9
2011-08,131,290.2
2011-09,131,182.5
2011-10,131,34.5
2011-11,131,92.6
2011-12,131,14.6
2012-01,131,17.8
2012-02,131,3.7
2012-03,131,65.1
2012-04,131,106.8
2012-05,131,31.2
2012-06,131,93.7
2012-07,131,257.4
2012-08,131,479.5
2012-09,131,162.5
2012-10,131,61.2
2012-11,131,52.1
2012-12,131,56.6
2013-01,131,30.5
2013-02,131,33.2
2013-03,131,46.8
2013-04,131,65
2013-05,131,97.9
2013-06,131,229.9
2013-07,131,253.6
2013-08,131,183.9
2013-09,131,162.6
2013-10,131,25
2013-11,131,75
2013-12,131,37.3
2014-01,131,5.9
2014-02,131,6.8
2014-03,131,51.1
2014-04,131,43.7
2014-05,131,35
2014-06,131,92.6
2014-07,131,125.1
2014-08,131,197.5
2014-09,131,147.5
2014-10,131,151.1
2014-11,131,24.8
2014-12,131,32.6
2015-01,131,16
2015-02,131,26.5
2015-03,131,44.1
2015-04,131,109.1
2015-05,131,24.4
2015-06,131,83.3
2015-07,131,141.4
2015-08,131,54.3
2015-09,131,20.1
2015-10,131,90.5
2015-11,131,107.5
2015-12,131,39.7
2016-01,131,5.7
2016-02,131,45.5
2016-03,131,13.2
2016-04,131,132.1
