기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부(1/2),비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1120837,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",C,의원,G099,응급의료기관 이외,2,"외과: 상시진료, 내과는 당분간 휴진","서울시 송파구 문정동 장지동 법조단지 위례 가락동 가락시장역 위치, 삼성서울병원 외래교수 출신 구강외과 전문의 진료, 진료과목 - 임플란트, 치조골 뼈이식 수술, 매복 사랑니 발치, 턱관절 악관절 질환의 치료, 교정 치료 및 기타 보존, 보철(크라운 브릿지 인레이), 신경치료",방이역 1번출구 바로옆 굿모닝 신한증권 뒷건물,가산기대찬의원,02-6267-2580,02-920-5374,1930,1930,1930,1930,1930,1500,1500,1500,900,900,900,900,900,900,1000,1000,85,11,126.8841225,37.4803938,55:00.0
A1104130,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",C,의원,G099,응급의료기관 이외,2,비만클리닉,"365일 진료, 국민건강보험공단 검진 지정병원 점심시간 13~14시",신사역 1번 출구 인근,365엠씨의원,02-516-3650,02-920-5374,2000,2000,1900,2000,2000,1600,1400,1400,1100,1100,1100,1100,1100,1100,900,900,60,38,127.0218085,37.5166042,54:49.0
A1106598,"서울특별시 동작구 상도로 170, 2층 (상도동)",C,의원,G099,응급의료기관 이외,2,점심시간 12:30~13:30,,장승배기역 3번출구 바로앞,(사)한국한센복지협회서울특별시지부부설의원,02-812-1894,,1800,1800,1800,1800,1800,1300,,,900,900,900,900,900,900,,,69,56,126.9380382,37.50407636,14:35.0
A1124291,서울특별시 강남구 봉은사로 612 (삼성동),B,병원,G099,응급의료기관 이외,2,08/15 광복절 휴무,,일신여상 건너편,(의)가산의료재단광동병원,02-2222-4888,,1800,2000,1900,2000,1800,1400,1300,,900,900,900,900,900,900,900,,61,70,127.0621468,37.51428104,14:35.0
A1117873,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",N,치과의원,G099,응급의료기관 이외,2,대표번호1 지역번호 추가20170118150453,"서울시 송파구 문정동 장지동 법조단지 위례 가락동 가락시장역 위치, 삼성서울병원 외래교수 출신 구강외과 전문의 진료, 진료과목 - 임플란트, 치조골 뼈이식 수술, 매복 사랑니 발치, 턱관절 악관절 질환의 치료, 교정 치료 및 기타 보존, 보철(크라운 브릿지 인레이), 신경치료",서월치안센터 인근 청암빌딩 5층,가로수치과의원,02-882-2750,02-920-5374,1900,2100,1900,2100,1900,1400,1500,1500,1000,1000,930,1400,1000,1000,1000,1000,87,76,126.9293767,37.48191799,54:55.0
B1100027,서울특별시 강남구 봉은사로 612 (삼성동),E,한방병원,G099,응급의료기관 이외,2,진료과목마다 진료시간 다릅니다. 전화 확인 후 방문해주세요.,,봉은사역 5번 출구 삼성1동주민센터 옆,(의)가산의료재단광동한방병원,02-2222-4888,,1800,1800,1900,1900,1900,1600,1300,,900,900,900,900,900,900,900,,61,70,127.0621468,37.51428104,14:35.0
A1107005,"서울특별시 금천구 시흥대로 421, 5층 (독산동)",C,의원,G099,응급의료기관 이외,2,점심시간 12:30~13:30,(재)한국산업의학연구소부설,독산사거리,(재)한국산업의학연구소부설나노메디의원,1544-5189,,1630,1630,1200,1630,1630,1200,1300,1630,730,730,730,730,730,730,900,900,85,23,126.8977407,37.47116193,14:36.0
B1105364,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",G,한의원,G099,응급의료기관 이외,2,점심시간 13:00~14:00,"소아과 평일) 9-18시, 토) 9-14시",동자초등학교 맞은편,가좌경희한의원,02-308-7582,02-920-5374,2000,2000,2000,2000,2000,1500,1600,2400,930,930,930,930,930,930,1000,0,37,9,126.9127073,37.5708141,55:03.0
A1106202,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",C,의원,G099,응급의료기관 이외,2,진료과목마다 진료시간 다릅니다. 전화 확인 후 방문해주세요.,,삼성역 5번출구,(의)미래의료재단리드림의원,02-540-0001,,1600,1600,1600,1600,1600,1300,1300,,730,730,730,730,730,730,900,,61,69,127.0588872,37.50800316,14:35.0
A1116520,"서울특별시 은평구 은평로 170, 305호 (응암동, 상현빌딩)",C,의원,G099,응급의료기관 이외,2,점심시간 13:00~14:00 08/15 광복절 휴무,스테로이드를 쓰지 않는 척추관절 통증클리닉 입니다.,상현빌딩 305호,힘튼의원,02-382-7588,02-809-0122,1800,1800,2000,1800,1800,1300,1500,1600,900,900,1400,900,900,900,900,930,34,62,126.9266624,37.60108939,15:06.0
